# source: https://www.sec.gov/data-research/sec-markets-data/insider-transactions-data-sets (quarterly Form 3/4/5 data sets, 2024q3, 2024q4, 2025q1, 2025q2, 2025q3, 2025q4, 2026q1, 2026q2)
# fetched: 2026-09-23T18:39:43-04:00
# rows: original Form 4, code P, acquired, priced, not 10b5-1, a director or officer among the owners
filing_date,trans_date,ticker,issuer_cik,owners,roles,titles,shares,price,value,ownership,accession
2024-07-01,2024-06-28,APHP,0001771995,0001771958,"Director,Officer,TenPercentOwner",CEO,2600.0,0.28,728.0,D,0001493152-24-025797
2024-07-01,2024-06-27,CALC,0001534133,0001189022,Director,,8443.0,3.23,27270.89,D,0001415889-24-018567
2024-07-01,2024-06-28,DHIL,0000909108,0001787213,"Director,Officer",Chief Executive Officer,300.0,140.0,42000.0,D,0001787213-24-000006
2024-07-01,2024-06-27,DHIL,0000909108,0001787213,"Director,Officer",Chief Executive Officer,250.0,139.38,34845.0,D,0001787213-24-000006
2024-07-01,2024-06-27,DHIL,0000909108,0001969324,Officer,President of DHCM,400.0,139.24,55696.0,D,0001969324-24-000006
2024-07-01,2024-06-27,ELYM,0001768446,0001384859;0001825376;0001780117;0001619841;0001315082;0001883840;0001346824,"Director,TenPercentOwner;Director;Director;Director,TenPercentOwner;Director,TenPercentOwner;Director;Director,TenPercentOwner",;;;;;;,11949171.0,3.84,45884816.64,I,0001415889-24-018708
2024-07-01,2024-06-27,ELYM,0001768446,0001384859;0001825376;0001780117;0001619841;0001315082;0001883840;0001346824,"Director,TenPercentOwner;Director;Director;Director,TenPercentOwner;Director,TenPercentOwner;Director;Director,TenPercentOwner",;;;;;;,1059375.0,3.84,4068000.0,I,0001415889-24-018708
2024-07-01,2024-06-25,EP,0000887396,0001670677,"Director,TenPercentOwner",,33295.0,5.29,176130.55,D,0001072613-24-000581
2024-07-01,2024-06-28,EP,0000887396,0001670677,"Director,TenPercentOwner",,600.0,5.62,3372.0,I,0001072613-24-000581
2024-07-01,2024-06-28,EP,0000887396,0001670677,"Director,TenPercentOwner",,4648.0,5.39,25052.72,D,0001072613-24-000581
2024-07-01,2024-06-28,FBIO,0001429260,0000941841,"Director,Officer,TenPercentOwner",President  CEO & Chairman,20000.0,1.64,32800.0,D,0001104659-24-076591
2024-07-01,2024-06-27,FXNC,0000719402,0001252758,Director,,500.0,15.0,7500.0,D,0001437749-24-021648
2024-07-01,2024-06-28,FXNC,0000719402,0001252758,Director,,32.0,15.05,481.6,D,0001437749-24-021648
2024-07-01,2024-07-01,GANX,0001819411,0001313876,Director,,5000.0,1.23,6150.0,D,0001493152-24-025831
2024-07-01,2024-07-01,GANX,0001819411,0001313876,Director,,12000.0,1.21,14520.0,D,0001493152-24-025831
