# source: https://api.nasdaq.com/api/screener/stocks?tableonly=true&download=true
# fetched: 2026-09-23T10:34:16-04:00
# rule: market cap 300M-10B, price >= 3.0; no volume rule
ticker,cap_m,sector,industry
AAC,712,Industrials,Metal Fabrications
AADX,2236,Industrials,Military/Government/Technical
AAL,8841,Consumer Discretionary,Air Freight/Delivery Services
AAMI,3217,Finance,Investment Managers
AAOI,8750,Technology,Semiconductors
AAON,6577,Industrials,Industrial Machinery/Components
AAP,2501,Consumer Discretionary,Auto & Home Supply Stores
AAPG,1466,Health Care,Biotechnology: Pharmaceutical Preparations
AAT,1336,Real Estate,Real Estate Investment Trusts
AAUC,3074,,
AB,3374,Finance,Investment Managers
ABCB,5543,Finance,Major Banks
ABCL,4026,Health Care,Biotechnology: Pharmaceutical Preparations
ABEO,332,Health Care,Biotechnology: Pharmaceutical Preparations
ABG,3305,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABM,2912,Consumer Discretionary,Diversified Commercial Services
ABR,807,Real Estate,Real Estate Investment Trusts
ABSI,1745,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABTC,733,Finance,Finance: Consumer Services
ABUS,985,Health Care,Biotechnology: Pharmaceutical Preparations
ABVX,8303,Health Care,Biotechnology: Pharmaceutical Preparations
ABX,765,Finance,Investment Managers
ABXL,1896,Finance,Investment Managers
ACA,7198,Industrials,Metal Fabrications
ACAD,4473,Health Care,Biotechnology: Pharmaceutical Preparations
ACCO,394,Consumer Discretionary,Publishing
ACDC,842,Energy,Oilfield Services/Equipment
ACEL,903,Consumer Discretionary,Services-Misc. Amusement & Recreation
ACGLN,5234,Finance,Property-Casualty Insurers
ACGLO,6374,Finance,Property-Casualty Insurers
ACHC,2745,Health Care,Medical Specialities
ACHR,4386,Industrials,Aerospace
ACHV,839,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,5758,Consumer Staples,Food Chains
ACIC,436,Finance,Property-Casualty Insurers
ACIW,4949,Technology,Computer Software: Prepackaged Software
ACLS,3470,Technology,Industrial Machinery/Components
