tier,new,ticker,price,cap_b,macd,exit_40d_low,exit_dist,to_2y_high,overhead,ceilings,base_25d,above_50d,chan_pct_yr,z,off_hi,sector,industry,flags
"A","","DGII","75.22","2.86","cross 4d","65.53","-12.9","13.3","3.0","1","16.2","Y","102","-0.64","-11.8","Telecommunications","Computer Communications Equipment",""
"A","","GFF","96.4","4.38","0.04% away, rising","86.17","-10.6","11.2","5.2","1","10.9","n","51","-0.76","-10.1","Industrials","Building Products",""
"A","","MCS","27.65","0.86","0.15% away, rising","24.94","-9.8","12.5","5.8","1","14.4","n","250","-1.28","-11.2","Consumer Discretionary","Movies/Entertainment",""
"A","","BJRI","61.23","1.31","cross 2d","58.82","-3.9","21.3","7.8","1","14.4","n","330","-1.9","-17.5","Consumer Discretionary","Restaurants",""
"A","","ODC","91.02","1.3","cross 5d","85.84","-5.7","16.9","10.0","1","7.8","n","88","-1.03","-14.5","Consumer Discretionary","Miscellaneous manufacturing indust",""
"A","","PSMT","174.66","5.33","cross 4d","167.0","-4.4","13.3","10.4","1","6.1","n","33","-0.94","-11.7","Consumer Discretionary","Department/Specialty Retail Stores",""
"A","","VVX","76.77","2.35","cross 5d","71.91","-6.3","18.3","10.6","1","14.7","n","35","-0.82","-15.5","Consumer Discretionary","Diversified Commercial Services",""
"B","","IRDM","48.98","5.12","cross 5d","44.36","-9.4","13.8","5.0","3","6.1","Y","72","-0.59","-12.1","Consumer Discretionary","Telecommunications Equipment",""
"B","NEW","CAKE","104.27","5.2","0.51% away, rising","89.01","-14.6","12.5","5.6","1","20.3","Y","415","-1.42","-11.1","Consumer Discretionary","Restaurants",""
"B","","MYE","32.02","1.2","cross 3d","29.77","-7.0","14.7","5.8","2","12.6","n","227","-1.37","-12.8","Industrials","Plastic Products",""
"B","","NVEC","108.03","0.53","cross 4d","97.26","-10.0","24.2","6.2","2","14.4","Y","105","-0.59","-19.5","Technology","Semiconductors",""
"B","NEW","TILE","34.74","2.02","0.38% away, rising","33.52","-3.5","13.2","6.8","2","16.2","n","121","-1.98","-11.6","Consumer Discretionary","Home Furnishings",""
"B","","VSXY","83.67","6.65","cross 3d","72.58","-13.3","19.5","6.8","2","25.1","n","320","-1.11","-16.3","Consumer Discretionary","Clothing/Shoe/Accessory Stores",""
"B","","DCO","173.53","2.6","cross 2d","164.5","-5.2","19.3","7.2","2","21.7","n","103","-1.44","-16.2","Industrials","Military/Government/Technical",""
"B","","LIND","27.48","1.79","cross 5d","25.29","-8.0","25.5","7.4","2","26.1","n","236","-1.58","-20.3","Consumer Discretionary","Transportation Services",""
"B","NEW","KOP","46.06","0.87","cross 2d","44.9","-2.5","13.6","8.6","2","6.4","n","71","-1.5","-12.0","Basic Materials","Forest Products",""
"B","NEW","MEI","14.58","0.53","0.26% away, rising","12.92","-11.4","33.2","9.1","2","39.1","n","536","-1.52","-24.9","Technology","Electrical Products",""
"B","","MITK","17.63","0.8","0.21% away, rising","16.7","-5.3","14.2","9.2","2","14.8","n","85","-1.25","-12.5","Technology","Computer peripheral equipment",""
"B","NEW","CMPS","13.14","1.9","cross 5d","10.85","-17.4","15.6","9.6","2","15.6","n","344","-1.35","-13.5","Health Care","Biotechnology: Pharmaceutical Prep","BIOTECH"
"B","","UFPT","296.07","2.23","cross 1d","254.78","-13.9","17.0","10.2","3","13.6","Y","182","-0.83","-11.6","Health Care","Medical/Dental Instruments",""
"B","","ATEX","83.42","1.65","cross 2d","75.96","-8.9","29.7","10.8","2","24.6","n","555","-1.63","-22.9","Telecommunications","Telecommunications Equipment",""
